claim,statement,advanced by,verdict,evidence,section
A,BDM counts blocks in the random regime,index-set,"UPHELD, qualified",per-block BDM constant at 29.6 across a 16x size range; but it does track structure below ~20% rewiring,2
B,BDM is not invariant to node labelling,index-set,"UPHELD, proves less than it seems",BDM moves 30-45% of its value under relabelling; but the relabelling average is an invariant,3
C,BDM sees structure the index-set calculus cannot,BDM,UPHELD vs layer 1 only,wiring term separates 0% of same-degree pairs; the full calculus separates 100%,"4, 5"
D,BDM's separation is an artefact of layout,me (earlier),REFUTED,invariant BDM still separates 88.8% of real same-degree pairs; the triple was an adversarial anecdote,"4, 5"
E,The index-set calculus can separate via topology and behaviour tables,index-set,UPHELD,"paths 99.2%, repertoire 93-96%, combined 100%, all invariant","5, 6"
F,Perturbation is the causal instrument and we have it natively,index-set,UPHELD in capacity,exact per-atom knockout read-out; but weakest discriminator at 84.8%,7
G,"BDM's real advantage is domain generality, not randomness",BDM,UPHELD,"BDM orders bitmaps, waveforms and noise; the index-set calculus is undefined on all of them",9
H,D already induces an algorithmic probability,me (earlier),"REFUTED, repaired","Kraft sum is 2.3-13.1, so not a code; adding log2(n+1) for the arity gives 0.32-0.46",10
I,D is a computable upper bound on K,index-set,UPHELD; my scoring error,"deconvolution exhibits a program that replays the object exactly, so K <= D + c; the Kraft repair of claim H is what licenses it",11.1
J,The wiring term cannot be K-like for graphs,against our own side,UPHELD,"log2 C(n,d) is degree-only, so it separates 0% of same-degree pairs; a measure blind to structure cannot approximate algorithmic content",11.2
K,The compressed representation separates as a single measure,index-set,"REFUTED as stated, UPHELD refined","per-node compressed size 0%; query overlap order 2 = 97.6%, order 3 = 100% as a single invariant, but at O(n^3) and order 2 fails the adversarial triple",11.3
